aceticus	Syntrophaceticus
acus	Portacus
adaptatus	Aedoeadaptatus
adaptatus	Haladaptatus
adaptatus	Hoministercoradaptatus
adaptatus	Salinadaptatus
adhaeretor	Adhaeretor
albus	Abyssalbus
albus	Thioalbus
amator	Caloramator
amator	Seramator
amicus	[Azoamicus]
arculus	Desulfarculus
arculus	"Desulfoarculus"
arculus	Dethiosulfatarculus
arcus	Anaeroarcus
arcus	Azoarcus
arcus	Cyanarcus
arcus	"Candidatus Marinarcus" corrig.
arcus	Merismoarcus
arcus	Roseiarcus
arcus	Sideroxyarcus
arcus	Tetrarcus
aurantiacus	Sphingoaurantiacus
aurantiacus	Thermaurantiacus
avidus	Cupriavidus
avidus	Mycoavidus
bacillus	Acetilactobacillus
bacillus	"Acidibacillus"
bacillus	Acidithiobacillus
bacillus	Actinobacillus
bacillus	Aeribacillus
bacillus	"Aerobacillus"
bacillus	Agrilactobacillus
bacillus	Aidingibacillus
bacillus	Albibacillus
bacillus	Algibacillus
bacillus	Alicyclobacillus
bacillus	"Alkalibacillus"
bacillus	Alkalibacillus
bacillus	Alkalicoccobacillus
bacillus	Alkalilactibacillus
bacillus	Allobacillus
bacillus	Amedibacillus
bacillus	Ammoniibacillus
bacillus	Amphibacillus
bacillus	Amylolactobacillus
bacillus	Anaerobacillus
bacillus	"Anaeromassilibacillus"
bacillus	Aneurinibacillus
bacillus	Anoxybacillus
bacillus	Apilactobacillus
bacillus	Aquisalibacillus
bacillus	Arenibacillus
bacillus	Aureibacillus
bacillus	Bacillus
bacillus	Bombilactobacillus
bacillus	Brevibacillus
bacillus	Calculibacillus
bacillus	Caldalkalibacillus
bacillus	"Caldibacillus"
bacillus	Caldibacillus
bacillus	Camelliibacillus
bacillus	"Candidatus Carbobacillus"
bacillus	"Candidatus Carbonibacillus" corrig.
bacillus	Catenibacillus
bacillus	Cloacibacillus
bacillus	[Coccobacillus]
bacillus	Companilactobacillus
bacillus	Compostibacillus
bacillus	Coprobacillus
bacillus	"Desulfobacillus"
bacillus	Desulfuribacillus
bacillus	"Duodenibacillus"
bacillus	Effusibacillus
bacillus	Enterobacillus
bacillus	"Erythrobacillus"
bacillus	Faecalibacillus
bacillus	Fermentibacillus
bacillus	[Ferrobacillus]
bacillus	Fictibacillus
bacillus	Filobacillus
bacillus	Flectobacillus
bacillus	Fontibacillus
bacillus	Fructilactobacillus
bacillus	Fructobacillus
bacillus	Furfurilactobacillus
bacillus	"Galactobacillus"
bacillus	Geobacillus
bacillus	Gracilibacillus
bacillus	"Haemobacillus"
bacillus	Halalkalibacillus
bacillus	Halobacillus
bacillus	Halolactibacillus
bacillus	Halothiobacillus
bacillus	Helcobacillus
bacillus	Heliobacillus
bacillus	Humibacillus
bacillus	Hydrogenibacillus
bacillus	"Intestinibacillus"
bacillus	Jeotgalibacillus
bacillus	"Jilinibacillus"
bacillus	Lacticaseibacillus
bacillus	Lactiplantibacillus
bacillus	Lactobacillus
bacillus	Lapidilactobacillus
bacillus	Latilactobacillus
bacillus	Lentibacillus
bacillus	Lentilactobacillus
bacillus	Levilactobacillus
bacillus	Ligilactobacillus
bacillus	Limibacillus
bacillus	Limosilactobacillus
bacillus	Liquorilactobacillus
bacillus	Litoribacillus
bacillus	Lottiidibacillus
bacillus	"Candidatus Lutibacillus"
bacillus	Lysinibacillus
bacillus	Mageeibacillus
bacillus	"Mangrovibacillus"
bacillus	Marinibacillus
bacillus	Marinilactibacillus
bacillus	"Massilibacillus"
bacillus	Melghiribacillus
bacillus	"Methanobacillus"
bacillus	Methylobacillus
bacillus	Mycolicibacillus
bacillus	Natribacillus
bacillus	Natronobacillus
bacillus	"Negativibacillus"
bacillus	Negativibacillus
bacillus	Oceanobacillus
bacillus	Ornithinibacillus
bacillus	Paraliobacillus
bacillus	[Parvibacillus]
bacillus	Paucilactobacillus
bacillus	Paucisalibacillus
bacillus	Pelagibacillus
bacillus	Piscibacillus
bacillus	Polygonibacillus
bacillus	Pontibacillus
bacillus	Psychrobacillus
bacillus	Pullulanibacillus
bacillus	Radiobacillus
bacillus	"Candidatus Reconcilibacillus"
bacillus	"Candidatus Reconciliibacillus" corrig.
bacillus	[Rhodobacillus]
bacillus	Roseibacillus
bacillus	Saccharibacillus
bacillus	Salibacillus
bacillus	Salinibacillus
bacillus	Salipaludibacillus
bacillus	Saliterribacillus
bacillus	Salsuginibacillus
bacillus	Schleiferilactobacillus
bacillus	Scopulibacillus
bacillus	Secundilactobacillus
bacillus	Sediminibacillus
bacillus	Siculibacillus
bacillus	Sinibacillus
bacillus	"Candidatus Spirobacillus"
bacillus	Sporolactobacillus
bacillus	Streptobacillus
bacillus	Streptohalobacillus
bacillus	Sulfobacillus
bacillus	Tenuibacillus
bacillus	Tepidibacillus
bacillus	Terribacillus
bacillus	Terrilactibacillus
bacillus	Texcoconibacillus
bacillus	Thalassobacillus
bacillus	"Thermalkalibacillus"
bacillus	Thermithiobacillus
bacillus	Thermobacillus
bacillus	Thermolongibacillus
bacillus	Thiobacillus
bacillus	Tuberibacillus
bacillus	Tumebacillus
bacillus	[Urobacillus]
bacillus	Viridibacillus
bacillus	Vulcanibacillus
bacillus	Xylanibacillus
bacter	"Candidatus Abditibacter"
bacter	Abyssibacter
bacter	"Abyssisolibacter"
bacter	Acanthopleuribacter
bacter	"Candidatus Accumulibacter"
bacter	[Acestibacter]
bacter	"Acetanaerobacter"
bacter	Acetobacter
bacter	Achromobacter
bacter	Acidaminobacter
bacter	Acidibacter
bacter	Acidiferrobacter
bacter	Acidihalobacter
bacter	Acidiluteibacter
bacter	"Candidatus Acidulidesulfobacter" corrig.
bacter	Acinetobacter
bacter	Actibacter
bacter	Actirhodobacter
bacter	Acutalibacter
bacter	Adhaeribacter
bacter	Aequoribacter
bacter	[Aerobacter]
bacter	Aestuariibacter
bacter	Aetherobacter
bacter	Agaribacter
bacter	Agathobacter
bacter	Aggregatibacter
bacter	Agriterribacter
bacter	Albibacter
bacter	Algibacter
bacter	Alkalibacter
bacter	Alkanibacter
bacter	"Candidatus Allofontibacter" corrig.
bacter	Alsobacter
bacter	Alteribacter
bacter	"Altibacter"
bacter	"Altuibacter"
bacter	Aminobacter
bacter	Amoebobacter
bacter	Amylibacter
bacter	"Candidatus Anadelfobacter"
bacter	Anaerobacter
bacter	"Anaerolactibacter"
bacter	Anaeromyxobacter
bacter	Anaerosalibacter
bacter	Anaerosolibacter
bacter	Anaerosporobacter
bacter	Ancylobacter
bacter	Angustibacter
bacter	[Anoxipelagibacter]
bacter	Anoxybacter
bacter	Antarctobacter
bacter	Anthocerotibacter
bacter	Antribacter
bacter	Apibacter
bacter	"Aplanobacter"
bacter	Aquabacter
bacter	Aquariibacter
bacter	Aquibacter
bacter	Aquidulcibacter
bacter	Aquipuribacter
bacter	"Arabiibacter"
bacter	"Candidatus Arcanibacter" corrig.
bacter	"Candidatus Arcanobacter"
bacter	Arcobacter
bacter	Arcticibacter
bacter	Arcticiflavibacter
bacter	Arenibacter
bacter	Aridibacter
bacter	Arsenicibacter
bacter	Arthrobacter
bacter	Arthrospiribacter
bacter	Arundinibacter
bacter	Arvibacter
bacter	Asaccharobacter
bacter	"Ascidiaceibacter"
bacter	Asprobacter
bacter	"Atlantibacter"
bacter	Atopobacter
bacter	Atribacter
bacter	Aurantiacibacter
bacter	"Aurantibacter"
bacter	Aurantibacter
bacter	Aureibacter
bacter	Auritidibacter
bacter	Azotobacter
bacter	"Candidatus Baltobacter"
bacter	Biomaibacter
bacter	Blastobacter
bacter	Botryobacter
bacter	Brassicibacter
bacter	Brevilactibacter
bacter	Breznakibacter
bacter	Bryobacter
bacter	Butyratibacter
bacter	Butyribacter
bacter	"Caecibacter"
bacter	Caedibacter
bacter	"Caespitibacter"
bacter	Caldanaerobacter
bacter	"Candidatus Caldibacter"
bacter	Caldicoprobacter
bacter	Caldisalinibacter
bacter	Calidifontibacter
bacter	Caloranaerobacter
bacter	Caminibacter
bacter	Campylobacter
bacter	Canibacter
bacter	Caproicibacter
bacter	"Carotenobacter"
bacter	Caseobacter
bacter	Catabacter
bacter	"Catabacter"
bacter	Caulobacter
bacter	Caviibacter
bacter	Celeribacter
bacter	Cellulosibacter
bacter	Cereibacter
bacter	Cesiribacter
bacter	"Changpingibacter"
bacter	Chelatobacter
bacter	Chelonobacter
bacter	Chimaeribacter
bacter	Chitinibacter
bacter	"Chitinolyticbacter"
bacter	Chromohalobacter
bacter	Chroobacter
bacter	"Chryseosolibacter"
bacter	"Chthoniobacter"
bacter	Chthonobacter
bacter	Chujaibacter
bacter	"Candidatus Cibiobacter"
bacter	"Candidatus Cibionibacter" corrig.
bacter	Ciceribacter
bacter	"Citreibacter"
bacter	Citrobacter
bacter	Clavibacter
bacter	Clostridiisalibacter
bacter	Cnuibacter
bacter	Cohaesibacter
bacter	"Colibacter"
bacter	"Colidextribacter"
bacter	Commensalibacter
bacter	"Candidatus Competibacter"
bacter	Compostibacter
bacter	Conexibacter
bacter	Confluentibacter
bacter	Congregibacter
bacter	Conservatibacter
bacter	Constrictibacter
bacter	"Candidatus Contendibacter" corrig.
bacter	"Candidatus Contendobacter"
bacter	Coprobacter
bacter	Coprothermobacter
bacter	Corallibacter
bacter	Corticibacter
bacter	Corticimicrobacter
bacter	Craterilacuibacter
bacter	Crenobacter
bacter	Cricetibacter
bacter	Croceibacter
bacter	"Cronobacter"
bacter	Cronobacter
bacter	Cryptanaerobacter
bacter	Cucumibacter
bacter	Culicoidibacter
bacter	Cumulibacter
bacter	Cuneatibacter
bacter	[Curacaobacter]
bacter	Curvibacter
bacter	"Candidatus Cyrtobacter"
bacter	Cystobacter
bacter	"Candidatus Cytomitobacter"
bacter	"Daptobacter"
bacter	"Dechlorobacter"
bacter	Deferribacter
bacter	Defluvibacter
bacter	Dehalobacter
bacter	Deinobacter
bacter	Deminuibacter
bacter	Dendrosporobacter
bacter	"Denitrobacter"
bacter	Dermabacter
bacter	Desertibacter
bacter	Desulfitibacter
bacter	Desulfobacter
bacter	"Desulfobacter"
bacter	Desulfocurvibacter
bacter	Desulfoferrobacter
bacter	Desulfonatronobacter
bacter	Desulfothermobacter
bacter	Dethiobacter
bacter	Dethiosulfatibacter
bacter	Diaminobutyricibacter
bacter	Diaphorobacter
bacter	Dichelobacter
bacter	Dictyobacter
bacter	Dinghuibacter
bacter	Dissulfuribacter
bacter	"Candidatus Dormibacter"
bacter	"Candidatus Dormiibacter" corrig.
bacter	Dyadobacter
bacter	Dysosmobacter
bacter	Edaphobacter
bacter	Effluviibacter
bacter	Egibacter
bacter	Eisenibacter
bacter	Ellagibacter
bacter	Emcibacter
bacter	Empedobacter
bacter	Endobacter
bacter	"Candidatus Endonucleariibacter" corrig.
bacter	"Candidatus Endonucleariobacter"
bacter	"Candidatus Endonucleibacter" corrig.
bacter	"Candidatus Endonucleobacter"
bacter	Enhydrobacter
bacter	Enterobacter
bacter	Entomobacter
bacter	"Candidatus Epifloribacter" corrig.
bacter	"Candidatus Eremiobacter"
bacter	Erythrobacter
bacter	Extibacter
bacter	Fabibacter
bacter	Faecalibacter
bacter	Fastidiosibacter
bacter	"Candidatus Fermentibacter"
bacter	[Ferribacter]
bacter	"Candidatus Ferrooxidibacter" corrig.
bacter	Ferruginibacter
bacter	Fertoeibacter
bacter	"Candidatus Fervidibacter"
bacter	Fibrobacter
bacter	Filibacter
bacter	Flaviaestuariibacter corrig.
bacter	Flaviaesturariibacter
bacter	Flaviflagellibacter
bacter	Flavihalobacter
bacter	Flavihumibacter
bacter	Flavilitoribacter
bacter	Flavipsychrobacter
bacter	Flavisolibacter
bacter	Flexibacter
bacter	Flintibacter
bacter	Flocculibacter
bacter	Fluoribacter
bacter	Fluviibacter
bacter	Fodinibacter
bacter	"Candidatus Fodinibacter" corrig.
bacter	"Foetidibacter"
bacter	"Candidatus Fonsibacter"
bacter	Fontibacter
bacter	"Candidatus Frackibacter"
bacter	Franconibacter
bacter	Fretibacter
bacter	Frigidibacter
bacter	Frondibacter
bacter	[Fucobacter]
bacter	Fulvibacter
bacter	Fundibacter
bacter	"Fuscibacter"
bacter	Fusibacter
bacter	Fusicatenibacter
bacter	Gabonibacter
bacter	Gaetbulibacter
bacter	Galactobacter
bacter	"Candidatus Galacturonatibacter" corrig.
bacter	"Candidatus Galacturonibacter"
bacter	Galbibacter
bacter	Gallibacter
bacter	Gelidibacter
bacter	Gemmobacter
bacter	Geoalkalibacter
bacter	Geoanaerobacter
bacter	Geobacter
bacter	Geomesophilobacter
bacter	"Geomobilibacter"
bacter	Geopsychrobacter
bacter	Geosporobacter
bacter	Geothermobacter
bacter	Gilvibacter
bacter	"Ginsengibacter"
bacter	Glaciibacter
bacter	Gloeobacter
bacter	"Candidatus Glomeribacter"
bacter	"Glucerabacter"
bacter	Gluconobacter
bacter	Glutamicibacter
bacter	Gordonibacter
bacter	Gracilibacter
bacter	Granulibacter
bacter	[Granulobacter]
bacter	Gulosibacter
bacter	Haematobacter
bacter	"Haererehalobacter"
bacter	Halalkalibacter
bacter	Halanaerobacter corrig.
bacter	Halarcobacter corrig.
bacter	Halarsenatibacter
bacter	"Candidatus Halichondribacter"
bacter	"Candidatus Halichondriibacter" corrig.
bacter	Haliscomenobacter
bacter	Haloanaerobacter
bacter	Haloarcobacter
bacter	"Halobacter"
bacter	Halocynthiibacter
bacter	Haloflavibacter
bacter	Hartmannibacter
bacter	Hasllibacter
bacter	Helicobacter
bacter	"Candidatus Hepatobacter"
bacter	"Hevizibacter"
bacter	Homoserinibacter
bacter	"Candidatus Houarnoksidobacter"
bacter	Huaxiibacter
bacter	Humibacter
bacter	Hydrobacter
bacter	Hydrogenobacter
bacter	"Candidatus Hydrogenosomobacter"
bacter	Hymenobacter
bacter	Hypericibacter
bacter	"Hyphobacter"
bacter	"Candidatus Ignotibacter" corrig.
bacter	"Ihubacter"
bacter	Ilumatobacter
bacter	Ilyobacter
bacter	Immundisolibacter
bacter	Imperialibacter
bacter	Indibacter
bacter	Intestinibacter
bacter	Iodobacter
bacter	Irregularibacter
bacter	Janibacter
bacter	"Jejubacter"
bacter	"Candidatus Jidaibacter"
bacter	Jinshanibacter
bacter	Jiulongibacter
bacter	[Kaistobacter]
bacter	Ketobacter
bacter	Koleobacter
bacter	"Komagatabacter"
bacter	Komagataeibacter
bacter	"Konateibacter"
bacter	Koreibacter
bacter	"Candidatus Koribacter"
bacter	[Korobacter]
bacter	Krokinobacter
bacter	"Candidatus Kryptobacter"
bacter	Ktedobacter
bacter	Ktedonobacter corrig.
bacter	Ktedonosporobacter
bacter	Labilibacter
bacter	Lacibacter
bacter	Lamprobacter
bacter	Laribacter
bacter	"Candidatus Latescibacter"
bacter	Lawsonibacter
bacter	Lentibacter
bacter	Lentihominibacter
bacter	Lentilitoribacter
bacter	Leucobacter
bacter	Liberibacter
bacter	"Candidatus Liberobacter"
bacter	Limibacter
bacter	Limnobacter
bacter	Limoniibacter
bacter	Litoreibacter
bacter	Litoribacter
bacter	Litoribrevibacter
bacter	Longibacter
bacter	Lunatibacter
bacter	Luteibacter
bacter	Luteithermobacter
bacter	Luteolibacter
bacter	Lutibacter
bacter	Lutimaribacter
bacter	"Luxibacter"
bacter	Lysinibacter
bacter	Lysobacter
bacter	Mabikibacter
bacter	Malaciobacter corrig.
bacter	Malacobacter
bacter	Maledivibacter
bacter	Mangrovibacter
bacter	Maribacter
bacter	"Marinilongibacter"
bacter	Marinisporobacter
bacter	Marinobacter
bacter	Maripseudobacter
bacter	Maritimibacter
bacter	"Marseillibacter"
bacter	Mediterraneibacter
bacter	Melioribacter
bacter	"Merdibacter"
bacter	"Merdibacter"
bacter	"Mergibacter"
bacter	Meridianimaribacter
bacter	Mesocricetibacter
bacter	Mesoflavibacter
bacter	Mesohalobacter
bacter	[Mesopelagibacter]
bacter	Mesophilobacter
bacter	Methanobrevibacter
bacter	Methanothermobacter
bacter	Methylobacter
bacter	Methyloceanibacter
bacter	Microaerobacter
bacter	Microbacter
bacter	Miniphocaeibacter corrig.
bacter	Miniphocibacter
bacter	"Miniphocibacter"
bacter	Mizugakiibacter
bacter	"Candidatus Moanibacter" corrig.
bacter	Mobilisporobacter
bacter	Modestobacter
bacter	Modicisalibacter
bacter	Moheibacter
bacter	Mongoliibacter
bacter	"Candidatus Monilibacter"
bacter	Motilibacter
bacter	Mucibacter
bacter	Mucilaginibacter
bacter	Muribacter
bacter	Mycolicibacter
bacter	"Myxobacter"
bacter	"Candidatus Nanosynbacter"
bacter	"Natronohydrobacter"
bacter	Naxibacter
bacter	"Ndongobacter"
bacter	"Candidatus Nebulibacter" corrig.
bacter	"Candidatus Nebulobacter"
bacter	Necropsobacter
bacter	"Neglectibacter"
bacter	Neptuniibacter
bacter	"Candidatus Nesciobacter"
bacter	Nesiotobacter
bacter	Nguyenibacter
bacter	"Niameybacter"
bacter	Nibribacter
bacter	"Nissabacter"
bacter	Nitrobacter
bacter	Nitrogeniibacter
bacter	Notoacmeibacter
bacter	"Candidatus Obscuribacter"
bacter	Occallatibacter
bacter	"Candidatus Occultibacter" corrig.
bacter	"Candidatus Occultobacter"
bacter	Oceanobacter
bacter	Octadecabacter
bacter	Odoribacter
bacter	Oecophyllibacter
bacter	Oharaeibacter
bacter	Oleibacter
bacter	Oleisolibacter
bacter	Olivibacter
bacter	"Candidatus Opimibacter"
bacter	Ornithinibacter
bacter	Oryzisolibacter
bacter	Oryzobacter
bacter	Oscillibacter
bacter	Otariodibacter
bacter	"Candidatus Ovatibacter" corrig.
bacter	"Candidatus Ovibacter" corrig.
bacter	"Candidatus Ovobacter"
bacter	Oxalobacter
bacter	Oxobacter
bacter	"Candidatus Ozemibacter" corrig.
bacter	"Candidatus Paceibacter"
bacter	Pacificibacter
bacter	"Pajaroellobacter"
bacter	Paludibacter
bacter	Panacibacter
bacter	Pannonibacter
bacter	Papillibacter
bacter	"Candidatus Paracaedibacter"
bacter	"Candidatus Parcunitrobacter"
bacter	Parvibacter
bacter	Parviterribacter
bacter	Patulibacter
bacter	Paucibacter
bacter	Paucihalobacter
bacter	Pedobacter
bacter	"Candidatus Pelagibacter"
bacter	"Pelagiobacter"
bacter	Pelobacter
bacter	Peptoanaerobacter
bacter	Peredibacter
bacter	Perexilibacter
bacter	"Candidatus Peribacter"
bacter	Permianibacter
bacter	Persicobacter
bacter	Perspicuibacter
bacter	Petrobacter
bacter	Petrothermobacter
bacter	Phaeobacter
bacter	Phaeocystidibacter
bacter	Phaeodactylibacter
bacter	"Candidatus Phaeomarinibacter" corrig.
bacter	"Candidatus Phaeomarinobacter"
bacter	Phaseolibacter
bacter	"Candidatus Phloeobacter" corrig.
bacter	"Candidatus Phlomobacter"
bacter	Phnomibacter
bacter	Phocoenobacter
bacter	"Phoenicibacter"
bacter	"Candidatus Phosphoribacter"
bacter	[Photobacter]
bacter	Phragmitibacter
bacter	Phreatobacter
bacter	Phytobacter
bacter	"Piezobacter"
bacter	"Pigmentibacter"
bacter	Pilibacter
bacter	Pimelobacter
bacter	Pinibacter
bacter	"Pinirhizobacter"
bacter	Pinisolibacter
bacter	Piscinibacter
bacter	Plantibacter
bacter	Pluralibacter
bacter	Pokkaliibacter
bacter	Polaribacter
bacter	"Polycladidibacter"
bacter	Polymorphobacter
bacter	Polynucleobacter
bacter	Pontibacter
bacter	Pontibrevibacter
bacter	Pontixanthobacter
bacter	"Populibacter"
bacter	Porphyrobacter
bacter	Portibacter
bacter	Poseidonibacter
bacter	Povalibacter
bacter	"Prasinibacter"
bacter	Primorskyibacter
bacter	"Candidatus Procabacter"
bacter	"Candidatus Procaibacter" corrig.
bacter	Profundibacter
bacter	Prolixibacter
bacter	Propionibacter
bacter	Prosthecobacter
bacter	Protaetiibacter
bacter	"Protaminobacter"
bacter	"Candidatus Protistibacter" corrig.
bacter	"Candidatus Protistobacter"
bacter	Pseudarcobacter corrig.
bacter	Pseudoarcobacter
bacter	Pseudobacter
bacter	[Pseudogluconobacter]
bacter	Pseudoramibacter
bacter	Psychrobacter
bacter	Psychromarinibacter
bacter	Pulveribacter
bacter	Pusillibacter
bacter	Puteibacter
bacter	Putridiphycobacter
bacter	"Pygmaiobacter"
bacter	Pyramidobacter
bacter	Pyruvatibacter
bacter	Ramlibacter
bacter	Raoultibacter
bacter	Rarobacter
bacter	Rathayibacter
bacter	Ravibacter
bacter	[Renobacter]
bacter	"Candidatus Repentibacter" corrig.
bacter	Reticulibacter
bacter	Rhabdobacter
bacter	"Rhabdonatronobacter"
bacter	Rhizobacter
bacter	Rhodanobacter
bacter	Rhodobacter
bacter	Rhodocaloribacter
bacter	Rhodohalobacter
bacter	Rivibacter
bacter	Rodentibacter
